is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
44758_Q1,ML 1+1,72.93,ME
44758_Q2,ML 1+1,76.39,ME
44758_Q3,ML 1+1,92.31,ME
44758_Q4,ML 1+1,89.65,ME
44758_Q5,ML 1+1,88.94,ME
44758_Q6,ML 1+1,96.58,ME
44758_Q7,ML 1+1,76.92,ME
44758_Q8,ML 1+1,72.18,ME
44758_Q1,ML 1+4,63.25,ME
44758_Q2,ML 1+4,67.49,ME
44758_Q3,ML 1+4,82.49,ME
44758_Q4,ML 1+4,80.09,ME
44758_Q5,ML 1+4,80.04,ME
44758_Q6,ML 1+4,85.75,ME
44758_Q7,ML 1+4,68.3,ME
44758_Q8,ML 1+4,63.09,ME
44758_Q1,MSR,0.464,log(ME)/log(s)
44758_Q2,MSR,0.474,log(ME)/log(s)
44758_Q3,MSR,0.41,log(ME)/log(s)
44758_Q4,MSR,0.419,log(ME)/log(s)
44758_Q5,MSR,0.413,log(ME)/log(s)
44758_Q6,MSR,0.396,log(ME)/log(s)
44758_Q7,MSR,0.482,log(ME)/log(s)
44758_Q8,MSR,0.469,log(ME)/log(s)
44758_Q1,Umsatzzeit 90percent,859.2,[sec]
44758_Q2,Umsatzzeit 90percent,970.2,[sec]
44758_Q3,Umsatzzeit 90percent,943.14,[sec]
44758_Q4,Umsatzzeit 90percent,972.3,[sec]
44758_Q5,Umsatzzeit 90percent,857.76,[sec]
44758_Q6,Umsatzzeit 90percent,1087.44,[sec]
44758_Q7,Umsatzzeit 90percent,1121.34,[sec]
44758_Q8,Umsatzzeit 90percent,964.86,[sec]
44758_Q1,S_dash bei 90percent Umsatz,17.71,dNm
44758_Q2,S_dash bei 90percent Umsatz,17.05,dNm
44758_Q3,S_dash bei 90percent Umsatz,17.14,dNm
44758_Q4,S_dash bei 90percent Umsatz,16.85,dNm
44758_Q5,S_dash bei 90percent Umsatz,17.19,dNm
44758_Q6,S_dash bei 90percent Umsatz,17.26,dNm
44758_Q7,S_dash bei 90percent Umsatz,16.37,dNm
