is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
7022P_411491,Mooney Viscosity,54,
7022P_411491,Mooney Stress Relaxation,3.333,
7022P_411491,Styrene_Cont,21.0,
7022P_411491,Cis_Cont,13.5,
7022P_411491,Trans_Cont,15.5,
7022P_411491,Vinyl_Cont,49.9,
7022P_411491,Glass Transition Temperature,-24.8,
7022P_411491,Number Averaged Molecular Weight,279919,
7022P_411491,Weight Averaged Molecular Weight,322188,
7019P_411492,Mooney Viscosity,45,
7019P_411492,Mooney Stress Relaxation,1.145,
7019P_411492,Styrene_Cont,21.4,
7019P_411492,Cis_Cont,13.4,
7019P_411492,Trans_Cont,15.3,
7019P_411492,Vinyl_Cont,49.9,
7019P_411492,Glass Transition Temperature,-23.1,
7019P_411492,Number Averaged Molecular Weight,248386,
7019P_411492,Weight Averaged Molecular Weight,343234,
7022C_411493,Mooney Viscosity,49,
7022C_411493,Mooney Stress Relaxation,3.736,
7022C_411493,Styrene_Cont,20.9,
7022C_411493,Cis_Cont,13.4,
7022C_411493,Trans_Cont,15.2,
7022C_411493,Vinyl_Cont,50.5,
7022C_411493,Glass Transition Temperature,-23.9,
7022C_411493,Number Averaged Molecular Weight,170448,
7022C_411493,Weight Averaged Molecular Weight,207974,
7022E_411494,Mooney Viscosity,43,
7022E_411494,Mooney Stress Relaxation,1.265,
7022E_411494,Styrene_Cont,21.0,
7022E_411494,Cis_Cont,13.9,
7022E_411494,Trans_Cont,16.6,
7022E_411494,Vinyl_Cont,48.5,
7022E_411494,Glass Transition Temperature,-26.9,
7022E_411494,Number Averaged Molecular Weight,235005,
7022E_411494,Weight Averaged Molecular Weight,330549,
7022G_411495,Mooney Viscosity,70,
7022G_411495,Mooney Stress Relaxation,1.737,
7022G_411495,Styrene_Cont,21.0,
7022G_411495,Cis_Cont,13.7,
7022G_411495,Trans_Cont,16.0,
7022G_411495,Vinyl_Cont,49.3,
7022G_411495,Glass Transition Temperature,-24.6,
7022G_411495,Number Averaged Molecular Weight,256111,
7022G_411495,Weight Averaged Molecular Weight,288496,
7022S_411496,Mooney Viscosity,80,
7022S_411496,Mooney Stress Relaxation,0.905,
7022S_411496,Styrene_Cont,20.7,
7022S_411496,Cis_Cont,13.9,
7022S_411496,Trans_Cont,16.5,
7022S_411496,Vinyl_Cont,49.0,
7022S_411496,Glass Transition Temperature,-25.8,
7022S_411496,Number Averaged Molecular Weight,373294,
7022S_411496,Weight Averaged Molecular Weight,709747,
7024C_411497,Mooney Viscosity,55,
7024C_411497,Mooney Stress Relaxation,1.486,
7024C_411497,Styrene_Cont,21.2,
7024C_411497,Cis_Cont,13.4,
7024C_411497,Trans_Cont,15.6,
7024C_411497,Vinyl_Cont,49.8,
7024C_411497,Glass Transition Temperature,-24.5,
7024C_411497,Number Averaged Molecular Weight,262614,
7024C_411497,Weight Averaged Molecular Weight,306048,
7022P_411511,Mooney Viscosity,54,
7022P_411511,Mooney Stress Relaxation,3.333,
7022P_411511,Styrene_Cont,21.0,
7022P_411511,Cis_Cont,13.5,
7022P_411511,Trans_Cont,15.5,
7022P_411511,Vinyl_Cont,49.9,
7022P_411511,Glass Transition Temperature,-24.8,
7022P_411511,Number Averaged Molecular Weight,279919,
7022P_411511,Weight Averaged Molecular Weight,322188,
7019P_411512,Mooney Viscosity,45,
7019P_411512,Mooney Stress Relaxation,1.145,
7019P_411512,Styrene_Cont,21.4,
7019P_411512,Cis_Cont,13.4,
7019P_411512,Trans_Cont,15.3,
7019P_411512,Vinyl_Cont,49.9,
7019P_411512,Glass Transition Temperature,-23.1,
7019P_411512,Number Averaged Molecular Weight,248386,
7019P_411512,Weight Averaged Molecular Weight,343234,
7022C_411513,Mooney Viscosity,49,
7022C_411513,Mooney Stress Relaxation,3.736,
7022C_411513,Styrene_Cont,20.9,
7022C_411513,Cis_Cont,13.4,
7022C_411513,Trans_Cont,15.2,
7022C_411513,Vinyl_Cont,50.5,
7022C_411513,Glass Transition Temperature,-23.9,
7022C_411513,Number Averaged Molecular Weight,170448,
7022C_411513,Weight Averaged Molecular Weight,207974,
7022E_411514,Mooney Viscosity,43,
7022E_411514,Mooney Stress Relaxation,1.265,
7022E_411514,Styrene_Cont,21.0,
7022E_411514,Cis_Cont,13.9,
7022E_411514,Trans_Cont,16.6,
7022E_411514,Vinyl_Cont,48.5,
7022E_411514,Glass Transition Temperature,-26.9,
7022E_411514,Number Averaged Molecular Weight,235005,
7022E_411514,Weight Averaged Molecular Weight,330549,
7022G_411515,Mooney Viscosity,70,
7022G_411515,Mooney Stress Relaxation,1.737,
7022G_411515,Styrene_Cont,21.0,
7022G_411515,Cis_Cont,13.7,
7022G_411515,Trans_Cont,16.0,
7022G_411515,Vinyl_Cont,49.3,
7022G_411515,Glass Transition Temperature,-24.6,
7022G_411515,Number Averaged Molecular Weight,256111,
7022G_411515,Weight Averaged Molecular Weight,288496,
7022S_411516,Mooney Viscosity,80,
7022S_411516,Mooney Stress Relaxation,0.905,
7022S_411516,Styrene_Cont,20.7,
7022S_411516,Cis_Cont,13.9,
7022S_411516,Trans_Cont,16.5,
7022S_411516,Vinyl_Cont,49.0,
7022S_411516,Glass Transition Temperature,-25.8,
7022S_411516,Number Averaged Molecular Weight,373294,
7022S_411516,Weight Averaged Molecular Weight,709747,
7024C_411517,Mooney Viscosity,55,
7024C_411517,Mooney Stress Relaxation,1.486,
7024C_411517,Styrene_Cont,21.2,
7024C_411517,Cis_Cont,13.4,
7024C_411517,Trans_Cont,15.6,
7024C_411517,Vinyl_Cont,49.8,
7024C_411517,Glass Transition Temperature,-24.5,
7024C_411517,Number Averaged Molecular Weight,262614,
7024C_411517,Weight Averaged Molecular Weight,306048,
7022P_411531,Mooney Viscosity,54,
7022P_411531,Mooney Stress Relaxation,3.333,
7022P_411531,Styrene_Cont,21.0,
7022P_411531,Cis_Cont,13.5,
7022P_411531,Trans_Cont,15.5,
7022P_411531,Vinyl_Cont,49.9,
7022P_411531,Glass Transition Temperature,-24.8,
7022P_411531,Number Averaged Molecular Weight,279919,
7022P_411531,Weight Averaged Molecular Weight,322188,
7019U_411532,Mooney Viscosity,44,
7019U_411532,Mooney Stress Relaxation,1.279,
7019U_411532,Styrene_Cont,21.2,
7019U_411532,Cis_Cont,13.2,
7019U_411532,Trans_Cont,15.4,
7019U_411532,Vinyl_Cont,50.3,
7019U_411532,Glass Transition Temperature,-23.8,
7019U_411532,Number Averaged Molecular Weight,253128,
7019U_411532,Weight Averaged Molecular Weight,343727,
7019X_411533,Mooney Viscosity,49,
7019X_411533,Mooney Stress Relaxation,4.169,
7019X_411533,Styrene_Cont,21.4,
7019X_411533,Cis_Cont,13.4,
7019X_411533,Trans_Cont,15.4,
7019X_411533,Vinyl_Cont,49.8,
7019X_411533,Glass Transition Temperature,-22.6,
7019X_411533,Number Averaged Molecular Weight,166409,
7019X_411533,Weight Averaged Molecular Weight,205170,
7022D_411534,Mooney Viscosity,57,
7022D_411534,Mooney Stress Relaxation,1.191,
7022D_411534,Styrene_Cont,21.0,
7022D_411534,Cis_Cont,13.4,
7022D_411534,Trans_Cont,15.6,
7022D_411534,Vinyl_Cont,50.0,
7022D_411534,Glass Transition Temperature,-25.0,
7022D_411534,Number Averaged Molecular Weight,258386,
7022D_411534,Weight Averaged Molecular Weight,378848,
7022H_411535,Mooney Viscosity,74,
7022H_411535,Mooney Stress Relaxation,1.729,
7022H_411535,Styrene_Cont,20.9,
7022H_411535,Cis_Cont,13.6,
7022H_411535,Trans_Cont,15.9,
7022H_411535,Vinyl_Cont,49.5,
7022H_411535,Glass Transition Temperature,-22.7,
7022H_411535,Number Averaged Molecular Weight,266045,
7022H_411535,Weight Averaged Molecular Weight,300674,
7024D_411536,Mooney Viscosity,75,
7024D_411536,Mooney Stress Relaxation,1.061,
7024D_411536,Styrene_Cont,20.9,
7024D_411536,Cis_Cont,14.3,
7024D_411536,Trans_Cont,16.0,
7024D_411536,Vinyl_Cont,48.8,
7024D_411536,Glass Transition Temperature,-24.3,
7024D_411536,Number Averaged Molecular Weight,415630,
7024D_411536,Weight Averaged Molecular Weight,878098,
7024A_411537,Mooney Viscosity,64,
7024A_411537,Mooney Stress Relaxation,1.763,
7024A_411537,Styrene_Cont,21.2,
7024A_411537,Cis_Cont,13.3,
7024A_411537,Trans_Cont,14.9,
7024A_411537,Vinyl_Cont,50.6,
7024A_411537,Glass Transition Temperature,-25.4,
7024A_411537,Number Averaged Molecular Weight,283734,
7024A_411537,Weight Averaged Molecular Weight,323588,
7022P_411551,Mooney Viscosity,54,
7022P_411551,Mooney Stress Relaxation,3.333,
7022P_411551,Styrene_Cont,21.0,
7022P_411551,Cis_Cont,13.5,
7022P_411551,Trans_Cont,15.5,
7022P_411551,Vinyl_Cont,49.9,
7022P_411551,Glass Transition Temperature,-24.8,
7022P_411551,Number Averaged Molecular Weight,279919,
7022P_411551,Weight Averaged Molecular Weight,322188,
7019U_411552,Mooney Viscosity,44,
7019U_411552,Mooney Stress Relaxation,1.279,
7019U_411552,Styrene_Cont,21.2,
7019U_411552,Cis_Cont,13.2,
7019U_411552,Trans_Cont,15.4,
7019U_411552,Vinyl_Cont,50.3,
7019U_411552,Glass Transition Temperature,-23.8,
7019U_411552,Number Averaged Molecular Weight,253128,
7019U_411552,Weight Averaged Molecular Weight,343727,
7019X_411553,Mooney Viscosity,49,
7019X_411553,Mooney Stress Relaxation,4.169,
7019X_411553,Styrene_Cont,21.4,
7019X_411553,Cis_Cont,13.4,
7019X_411553,Trans_Cont,15.4,
7019X_411553,Vinyl_Cont,49.8,
7019X_411553,Glass Transition Temperature,-22.6,
7019X_411553,Number Averaged Molecular Weight,166409,
7019X_411553,Weight Averaged Molecular Weight,205170,
7022D_411554,Mooney Viscosity,57,
7022D_411554,Mooney Stress Relaxation,1.191,
7022D_411554,Styrene_Cont,21.0,
